Description,Rating,ReviewCount,Url
"2-Person Tent, Water Resistant Dome Tent for Camping with Removable Rain Fly and Carry Bag, Lost River 2 Person Tent by Wakeman Outdoors (Red/Gray) (75-CMP1021)",4.3,"1,032",https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01835511DOO9TX932VTJ&url=%2F2-Person-Resistant-Removable-Wakeman-Outdoors%2Fdp%2FB0727LD8BH%2Fref%3Dsr_1_12_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228262%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-12-spons%26psc%3D1&qualifier=1622228262&id=6193429104468391&widgetName=sp_mtf
"REVALCAMP Two Person Tent - Waterproof & Windproof 4 Season Tents for Camping, Backpacking & Hiking - Durable & Easy to Set-up - Good for 1 or 2 Person Camping Tent",4.5,206,https://www.amazon.pl/REVALCAMP-Sleeping-Bag-Cold-Weather/dp/B078SY4TZ2/ref=sr_1_13?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228262&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-13
Six Moon Designs Skyscape Scout Green 1 Person Ultralight Tent. Just 38 oz. Affordable Backpacking Tent. Polyurethane Coated 190T Polyester. Trekking Pole Setup. Great First Ultralight.,4.5,34,https://www.amazon.pl/Six-Moon-Designs-Skyscape-Scout/dp/B01CLVE5CO/ref=sr_1_15?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228262&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-15
Weanas Professional Backpacking Tent 2 3 4 Person 3 Season Weatherproof Double Layer Large Space Aluminum Rod for Outdoor Family Camping Hunting Hiking Adventure Travel,4.5,843,https://www.amazon.pl/Weanas-Professional-Backpacking-Weatherproof-Adventure/dp/B07MTFK374/ref=sr_1_16?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228262&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-16
Ubon 2-3 Person Pop up Tent Instant Tent Lightweight Backpacking Tent Camping,4.3,767,https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04623772YLD7JBWGCTKL&url=%2FUbon-Person-Instant-Lightweight-Camping%2Fdp%2FB0825TR4TK%2Fref%3Dsr_1_17_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228262%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-17-spons%26psc%3D1&qualifier=1622228262&id=6193429104468391&widgetName=sp_mtf
"4 Season Backpacking Tent for 1-2 Person, AYAMAYA Winter Cold Weather Ultralight Double Layer Waterproof 2 Doors & 2 Top Vent Easy Setup 2 Man Camping Tents for Backpacker Hiking Fishing Bikepacking",4.3,33,https://www.amazon.pl/Backpacking-Ultralight-Waterproof-Backpacker-Bikepacking/dp/B08CXFG4V5/ref=sr_1_18?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228262&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-18
"Mobihome 3 Person Tents for Camping, Instant Backpacking Quick Tent Easy Set Up, Portable 2 Person Dome Tent for Hiking & Mountain Outdoor, with Rainfly and Ventilated Top Mesh - 7' x 6.3'",4.4,257,https://www.amazon.pl/Mobihome-Backpacking-Portable-Mountain-Ventilated/dp/B07YFD58SW/ref=sr_1_19?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228262&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-19
"Ultralight 3 lb 5 oz Backpacking 2 Person Tent - Freestanding 2 Doors with Rainfly, Waterproof Seam Sealed, Easy Setup Camping Tent",4.8,10,https://www.amazon.pl/Ultralight-Backpacking-Person-Tent-Freestanding/dp/B08MMVCZ6T/ref=sr_1_20?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228262&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-20
"DIMAR GARDEN Automatic Instant Pop Up Tent,Waterproof Outdoor Rest for Camping,Traveling, Backpacking, Hiking, with Carrying Bag",3.9,36,https://www.amazon.pl/DIMAR-GARDEN-Automatic-Waterproof-Backpacking/dp/B08NDVRCPN/ref=sr_1_21?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228262&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-21
"Go Time Gear Life Bivy Emergency Sleeping Bag Thermal Bivvy - Use as Emergency Bivy Sack, Survival Sleeping Bag, Mylar Emergency Blanket - Includes Stuff Sack with Survival Whistle + Paracord String",4.7,"3,038",https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06145522T5Q7IFU0FLWN&url=%2FLife-Emergency-Sleeping-Thermal-Bivvy%2Fdp%2FB07M6ZM2KV%2Fref%3Dsr_1_22_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228262%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-22-spons%26psc%3D1&qualifier=1622228262&id=6193429104468391&widgetName=sp_btf
"Clostnature Lightweight Backpacking Tent - 3 Season Ultralight Waterproof Camping Tent, Large Size Easy Setup Tent for Family, Outdoor, Hiking and Mountaineering",4.7,"1,044",https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03614082IP7ZXNLJFQVZ&url=%2FClostnature-Lightweight-2-Person-Backpacking-Tent%2Fdp%2FB07D4J3J2R%2Fref%3Dsr_1_17_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228265%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-17-spons%26psc%3D1&qualifier=1622228265&id=2118849155726873&widgetName=sp_atf_next
"Go Time Gear Life Tent Emergency Survival Shelter – 2 Person Emergency Tent – Use As Survival Tent, Emergency Shelter, Tube Tent, Survival Tarp - Includes Survival Whistle & Paracord",4.7,"5,801",https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0621608CSETSE5WLK45&url=%2FGo-Time-Gear-Emergency-Survival%2Fdp%2FB07NVWY95Y%2Fref%3Dsr_1_18_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228265%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-18-spons%26psc%3D1&qualifier=1622228265&id=2118849155726873&widgetName=sp_atf_next
"2-Person Backpacking Tent- Waterproof Floor & Rain Fly, & Carry Bag by Wakeman Outdoors",5.0,1,https://www.amazon.pl/Backpacking-Waterproof-Lightweight-Backcountry-Wakeman/dp/B081W321M5/ref=sr_1_20?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228265&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-20
"FUNDANGO 3-4 Person Camping Tent, Lightweight Waterproof Family Dome Tents for Outdoor, Backpacking, Hiking, Double Layers, 2 Doors, 2 Vestibules, 2 Side Windows, Removable Rain Fly, Easy to Set Up",4.2,51,https://www.amazon.pl/FUNDANGO-Lightweight-Waterproof-Vestibule-Backpacking/dp/B01IB0Q4D2/ref=sr_1_21?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228265&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-21
3-4 Season 2 3 Person Lightweight Backpacking Tent Windproof Camping Tent Awning Family Tent Two Doors Double Layer with Aluminum rods for Outdoor Camping Family Beach Hunting Hiking Travel,4.5,652,https://www.amazon.pl/Hillman-3-Person-Waterproof-Backpacking-Aluminum/dp/B07CLRPLZF/ref=sr_1_22?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228265&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-22
"Bessport 2-3 Person Tent for Camping, Easy Setup Backpacking Tent Lightweight with Two Doors, Waterproof & Windproof Hiking Tent for 3-4 Seasons, Outdoor, Mountaineering and Travel",4.6,826,https://www.amazon.pl/Bessport-Backpacking-Lightweight-Waterproof-Mountaineering/dp/B085ZLPD6R/ref=sr_1_24?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228265&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-24
iCorer Backpacking Tent Waterproof Lightweight 2-3 Person Family Camping Portable Lightweight Easy Setup Hiking Tent,4.0,49,https://www.amazon.pl/iCorer-Backpacking-Waterproof-Lightweight-Portable/dp/B07QTPMKR7/ref=sr_1_26?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228265&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-26
MOON LENCE Camping Tent 2/4/6 Person Family Tent Double Layer Outdoor Tent Waterproof Windproof Anti-UV …,4.5,"2,714",https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A08752522GNQCO4EEBVT6&url=%2FMOON-LENCE-Lightweight-Backpacking-Waterproof%2Fdp%2FB07YTNW9KP%2Fref%3Dsr_1_27_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228265%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-27-spons%26psc%3D1&qualifier=1622228265&id=2118849155726873&widgetName=sp_mtf
"Naturehike Cloud-Up 1 2 3 Person Lightweight Backpacking Waterproof Tent Easy Setup - 4 Season for Outdoor Camping,Backpacking,Hiking,Mountaineering Travel",4.6,107,https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0788909SQWNRVIP328K&url=%2FNaturehike-Person-Lightweight-Backpacking-Waterproof%2Fdp%2FB08MKSJDTG%2Fref%3Dsr_1_28_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228265%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-28-spons%26psc%3D1&qualifier=1622228265&id=2118849155726873&widgetName=sp_mtf
"Bessport Tents for Camping - 2 and 3 Person Backpacking Tent, Easy Setup 3-4 Season Lightweight Tent - Waterproof and Windproof, Two Doors, Large Tent Anti-UV for Family, Outdoor, Hiking",4.5,433,https://www.amazon.pl/Bessport-Camping-Person-Lightweight-Backpacking/dp/B07YKTCJL9/ref=sr_1_30?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228265&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-30
"TRIWONDER Aluminum Tent Stakes Pegs & Reflective Guylines with Tent Cord Tensioners for Camping, Hiking, Backpacking",4.3,97,https://www.amazon.pl/TRIWONDER-Reflective-Tensioners-Backpacking-Fluorescent/dp/B07T48G9F5/ref=sr_1_31?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228265&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-31
"3OWL Everglades 2-Person Tent Perfect for Backpacking, Hiking, Camping, and Outdoors …",3.6,89,https://www.amazon.pl/3OWL-Everglades-2-Person-Backpacking-Outdoors/dp/B073XV43ZX/ref=sr_1_32?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228265&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-32
Ozark Trail 4-Season 2-Person Hiker Tent (orange),4.6,15,https://www.amazon.pl/Lightweight-compact-Drawstring-Mountain-Backpacking/dp/B07DW76QPB/ref=sr_1_33?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228265&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-33
"Clostnature Lightweight Backpacking Tent - 3 Season Ultralight Waterproof Camping Tent, Large Size Easy Setup Tent for Family, Outdoor, Hiking and Mountaineering",4.7,"1,044",https://www.amazon.pl/Clostnature-1-5-Person-Tent-Backpacking-Ultralight/dp/B0893PGBK9/ref=sr_1_35?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228265&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-35
camppal 3 4 Person Tent for Camping Hiking Mountain Backpacking Tents 4 Season Resistance to Windproof Rainproof and Waterproof (3-4 Person Green),4.5,45,https://www.amazon.pl/camppal-Professional-Resistance-Lightweight-Backpacking/dp/B0813KPXKB/ref=sr_1_36?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228265&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-36
SEMOO 3 Person Camping Tents 4-Season Double Layers Lightweight Family Tent Easy Setup for Backpacking Hiking Traveling,4.3,733,https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A07210543JQSCFQLQ39W8&url=%2FSEMOO-4-Season-Lightweight-Backpacking-Traveling%2Fdp%2FB01LXXKZRD%2Fref%3Dsr_1_37_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228265%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-37-spons%26psc%3D1&qualifier=1622228265&id=2118849155726873&widgetName=sp_btf
"Go Time Gear Life Bivy Emergency Sleeping Bag Thermal Bivvy - Use as Emergency Bivy Sack, Survival Sleeping Bag, Mylar Emergency Blanket - Includes Stuff Sack with Survival Whistle + Paracord String",4.7,"3,038",https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A06146521NAD3IDCQ68B6&url=%2FLife-Emergency-Sleeping-Thermal-Bivvy%2Fdp%2FB07681P4RZ%2Fref%3Dsr_1_38_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228265%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-38-spons%26psc%3D1&qualifier=1622228265&id=2118849155726873&widgetName=sp_btf
"Winterial 3 Person Tent, Easy Setup Lightweight Camping and Backpacking 3 Season Tent, Compact",4.5,252,https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A076624227DEOTKBFD8V&url=%2FWinterial-Lightweight-Camping-Backpacking-Compact%2Fdp%2FB01I0BJQEG%2Fref%3Dsr_1_33_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228268%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-33-spons%26psc%3D1&qualifier=1622228268&id=2032586777841306&widgetName=sp_atf_next
"Bessport Tents for Camping - 2 and 3 Person Backpacking Tent, Easy Setup 3-4 Season Lightweight Tent - Waterproof and Windproof, Two Doors, Large Tent Anti-UV for Family, Outdoor, Hiking",4.5,433,https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A06990801JT3Z40367XS0&url=%2FBessport-Camping-Person-Lightweight-Backpacking%2Fdp%2FB07YKTCJL9%2Fref%3Dsr_1_34_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228268%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-34-spons%26psc%3D1&qualifier=1622228268&id=2032586777841306&widgetName=sp_atf_next
GEERTOP Backpacking 1 Person Tent for Camping Lightweight Trekker Pole Tent 3 Season for Outdoor Survial Travel - Easy to Set Up with The Trekking Poles (Not Include),4.0,66,https://www.amazon.pl/GEERTOP-Upgrade-Ultralight-Backpacking-Travelling/dp/B081GRS556/ref=sr_1_35?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228268&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-35
Coleman Hooligan Backpacking Tent,4.3,"1,542",https://www.amazon.pl/Coleman-2000018289-Hooligan-Backpacking-Tent/dp/B001TS8OEG/ref=sr_1_36?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228268&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-36
MOON LENCE Camping Tent 1 and 2 Person Backpacking Tent Double Layer Portable Outdoor Lightweight Tent Waterproof Wind Proof Anti-UV for Hiking Fishing Easy Setup,4.7,492,https://www.amazon.pl/MOON-LENCE-Backpacking-Lightweight-Mountaineering/dp/B07VRZ9TCM/ref=sr_1_37?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228268&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-37
Marmot Crane Creek Backpacking and Camping Tent,4.7,528,https://www.amazon.pl/Marmot-Crane-2-Person-Backpacking-Camping/dp/B0754SP75F/ref=sr_1_38?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228268&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-38
GEERTOP Portable 2 Person 4 Season Tent Waterproof Backpacking Tent Double Layer All Weather for Camping Hiking Travel Climbing Mountaineering - Easy Set Up,4.5,183,https://www.amazon.pl/GEERTOP%C2%AE-4-season-2-person-Lightweight-Backpacking/dp/B016XI77WQ/ref=sr_1_39?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228268&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-39
Coleman Dome Tent with Screen Room | Evanston Camping Tent with Screened-In Porch,4.6,"5,282",https://www.amazon.pl/Coleman-6-Person-Evanston-Camping-Screened/dp/B004E4AW1K/ref=sr_1_40?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228268&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-40
"Toogh 3-4 Person Camping Tent 60 Seconds Set Up Tent Waterproof Pop Up Hexagon Outdoor Sports Tent Camping Sun Shelters, Instant Cabin Tent, Advanced Venting Design, Provide Top Rainfly(2021 Update)",4.3,"1,021",https://www.amazon.pl/Toogh-Camping-Backpacking-Waterproof-Automatic/dp/B06ZZN352H/ref=sr_1_41?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228268&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-41
"GEERTOP Backpacking Tent for 2 Person 4 Season Camping Tent Double Layer Waterproof for Outdoor Hunting, Hiking, Climbing, Travel - Easy Set Up",4.6,834,https://www.amazon.pl/GEERTOP%C2%AE-4-season-2-person-Waterproof-Backpacking/dp/B016QS5NEC/ref=sr_1_42?crid=AIFEP5LPE61I&dchild=1&keywords=amazon+best+seller+backpacking+tent&qid=1622228268&sprefix=best+seller+backpacking+tent%2Caps%2C336&sr=8-42
Roamhike Camping Tent 4 Season 3-4 Person Lightweight Backpacking Tent Waterproof Easy to Set Up Suitable for Camping Hiking Travel Climbing,1.0,1,https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A07467132MGQUKGTDGR1E&url=%2FRoamhike-Lightweight-Backpacking-Waterproof-Suitable%2Fdp%2FB08T175598%2Fref%3Dsr_1_43_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228268%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-43-spons%26psc%3D1&qualifier=1622228268&id=2032586777841306&widgetName=sp_mtf
"Beesky Tent-4-Person-Camping-Tents, Dark Room Family Tent Waterproof Windproof with Top Rainfly, Large Mesh Windows, Double Layer, Easy Set Up, Portable with Carry Bag, for All Seasons",5.0,9,https://www.amazon.pl/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A07586142Q4DCZN2VR5TW&url=%2FBeesky-Tent-4-Person-Camping-Tents-Waterproof-Windproof-Portable%2Fdp%2FB08ZD4NDDS%2Fref%3Dsr_1_44_sspa%3Fcrid%3DAIFEP5LPE61I%26dchild%3D1%26keywords%3Damazon%2Bbest%2Bseller%2Bbackpacking%2Btent%26qid%3D1622228268%26sprefix%3Dbest%2Bseller%2Bbackpacking%2Btent%252Caps%252C336%26sr%3D8-44-spons%26psc%3D1&qualifier=1622228268&id=2032586777841306&widgetName=sp_mtf
